text,label
This is an amazing offer! Get rich quick with our new program. Claim your prize now!,spam
Hello friend hope you're doing well. I just wanted to check in and see how life has been treating you lately.,not spam
WIN BIG IN OUR FREE PRIZE DRAWING! You could win a brand new car cash or other amazing prizes!,spam
Hi there just wanted to reach out and say hello. How's your day going so far?,not spam
You've won a prize! Congratulations! Just click this link to claim your prize.,spam
Dear friend I'm writing to let you know about an incredible opportunity that can change your life. Don't miss out!,spam
Hi just wanted to say hi and check in with you. How's everything going?,not spam
You're a lucky winner! Click here to claim your prize.,spam
Hello hope you're having a great day. I'm thinking of you and wanted to say hello.,not spam
Make money fast! Join our program and get rich quick.,spam
Hi there just wanted to drop you a line and see how you're doing. Hope everything is going well!,not spam
You've been chosen to participate in a special survey. Please click this link to complete it.,spam
Hey friend hope you're doing well. I was thinking about you the other day and thought I'd reach out.,not spam
Get instant cash with our new program! No experience necessary.,spam
Hello just wanted to say hi and see how you're doing. Hope everything is going great!,not spam
You've won a free trip! Just click this link to claim your prize.,spam
Hi there hope you're having a fantastic day. I'm thinking of you and wanted to say hello.,not spam
Make money from home! Join our program and start earning today.,spam
Win a trip to Paris this winter.,spam
Wilma I will go to the party.,not spam
Running late. Be there in 5 minutes.,not spam
Running late start without me.,not spam
Start the dinner without me.,not spam
Hello just wanted to check in and see how you're doing. Hope everything is going well!,not spam
You've been selected to receive a special offer. Click here to claim your prize.,spam